task,hash,cost,points,n_nodes,status,ops,dsl_rule
11,09629e4f,2114,17.343662833569816,40,baseline,Slice:10;ReduceSum:9;Gather:4;Unsqueeze:4;Concat:3;Equal:2;Cast:2;ArgMax:2;Add:2;Pad:2,"x1 = objects(I, F, T, T) | x2 = argmin(x1, numcolors) | x3 = normalize(x2) | x4 = upscale(x3, FOUR) | x5 = paint(I, x4) | x6 = ofcolor(I, FIVE) | O = fill(x5, FIVE, x6)"
12,0962bcdd,2259,17.277322483531997,29,baseline,Cast:6;Concat:4;Add:3;Gather:2;ArgMax:2;Reshape:2;ReduceSum:1;TopK:1;Slice:1;Flatten:1;Div:1;Mul:1;Unsqueeze:1;ScatterElements:1;Pad:1;Equal:1,"x1 = leastcolor(I) | x2 = replace(I, ZERO, x1) | x3 = leastcolor(x2) | x4 = ofcolor(I, x3) | x5 = mapply(dneighbors, x4) | x6 = fill(I, x3, x5) | x7 = objects(x6, F, T, T) | x8 = fork(connect, ulcorner, lrcorner) | x9 = fork(connect, llcorner, urcorner) | x10 = fork(combine, x8, x9) | x11 = mapply(x"
13,0a938d79,1930,17.43472471810107,62,baseline,Cast:18;Where:11;Gather:5;ArgMax:4;Unsqueeze:4;Mod:3;Equal:3;Einsum:2;Slice:2;Or:2;Sub:2;And:2;Squeeze:1;Not:1;Add:1;Greater:1,"x1 = portrait(I) | x2 = branch(x1, dmirror, identity) | x3 = x2(I) | x4 = fgpartition(x3) | x5 = merge(x4) | x6 = chain(double, decrement, width) | x7 = x6(x5) | x8 = compose(vfrontier, tojvec) | x9 = lbind(mapply, x8) | x10 = rbind(interval, x7) | x11 = width(x3) | x12 = rbind(x10, x11) | x13 = cha"
14,0b148d64,7985,16.014679939350888,38,baseline,Cast:6;ArgMax:4;Add:4;Less:3;Where:3;Reshape:3;Gather:3;ReduceMax:2;Sub:2;Min:2;ReduceSum:1;Or:1;ArgMin:1;And:1;Pad:1;Equal:1,"x1 = partition(I) | x2 = argmin(x1, size) | O = subgrid(x2, I)"
15,0ca9ddb6,900,18.197605236675688,1,baseline,Conv:1,"x1 = ofcolor(I, ONE) | x2 = ofcolor(I, TWO) | x3 = mapply(dneighbors, x1) | x4 = mapply(ineighbors, x2) | x5 = fill(I, SEVEN, x3) | O = fill(x5, FOUR, x4)"
16,0d3d703e,10,22.697414907005953,1,OURS,Gather:1,"x1 = switch(I, THREE, FOUR) | x2 = switch(x1, EIGHT, NINE) | x3 = switch(x2, TWO, SIX) | O = switch(x3, ONE, FIVE)"
17,0dfd9992,12726,15.548597576207262,28,baseline,Cast:5;Gather:5;Add:4;Mod:3;ArgMax:2;Equal:2;Sub:2;Mul:2;GatherND:1;ReduceSum:1;Pad:1,"x1 = height(I) | x2 = width(I) | x3 = partition(I) | x4 = colorfilter(x3, ZERO) | x5 = difference(x3, x4) | x6 = merge(x5) | x7 = astuple(x1, ONE) | x8 = astuple(ONE, x2) | x9 = decrement(x1) | x10 = decrement(x2) | x11 = toivec(x10) | x12 = tojvec(x9) | x13 = crop(I, x11, x8) | x14 = crop(I, x12, x"
18,0e206a2e,44197,14.303587807540875,923,baseline,And:124;Add:112;Mul:99;Cast:86;Sub:68;Clip:56;Equal:55;GreaterOrEqual:52;LessOrEqual:52;Where:50;Gather:45;Reshape:20;Greater:19;Div:12;Mod:12;ArgMax:11;MaxPool:10;Floor:10;ReduceMax:6;ReduceSum:5;TopK:5;Concat:4;Sum:4;Slice:2;ScatterND:2;Conv:1;Not:1,"x1 = palette(I) | x2 = objects(I, F, F, T) | x3 = rbind(greater, ONE) | x4 = compose(x3, numcolors) | x5 = sfilter(x2, x4) | x6 = remove(ZERO, x1) | x7 = lbind(colorcount, I) | x8 = argmax(x6, x7) | x9 = remove(x8, x6) | x10 = rbind(contained, x9) | x11 = compose(x10, first) | x12 = rbind(sfilter, x"
19,10fcaaa3,2798,17.063339844774575,32,baseline,Where:4;ReduceSum:3;Cast:3;ReduceMax:2;Add:2;Squeeze:2;Mod:2;Less:2;And:2;Equal:2;Greater:2;Gather:2;Slice:1;Sign:1;QLinearConv:1;Pad:1,"x1 = leastcolor(I) | x2 = hconcat(I, I) | x3 = vconcat(x2, x2) | x4 = ofcolor(x3, x1) | x5 = mapply(ineighbors, x4) | O = underfill(x3, EIGHT, x5)"
20,11852cab,1526,17.6695947881556,31,baseline,Add:8;Slice:3;ArgMax:3;Reshape:3;Gather:3;ReduceMin:2;Conv:2;Concat:2;GatherND:1;TopK:1;ReduceSum:1;Mul:1;ScatterND:1,"x1 = objects(I, T, T, T) | x2 = merge(x1) | x3 = hmirror(x2) | x4 = vmirror(x2) | x5 = dmirror(x2) | x6 = cmirror(x2) | x7 = paint(I, x3) | x8 = paint(x7, x4) | x9 = paint(x8, x5) | O = paint(x9, x6)"
21,1190e5a7,656,18.51383921105591,16,baseline,Einsum:4;Sub:2;Add:2;Less:2;And:2;Slice:1;Squeeze:1;Cast:1;Pad:1,"x1 = mostcolor(I) | x2 = frontiers(I) | x3 = sfilter(x2, vline) | x4 = difference(x2, x3) | x5 = astuple(x4, x3) | x6 = apply(size, x5) | x7 = increment(x6) | O = canvas(x1, x7)"
22,137eaa0f,2302,17.25846641071817,21,baseline,Cast:4;Unsqueeze:2;Concat:2;GatherND:1;TopK:1;Div:1;Mod:1;Where:1;Mul:1;Add:1;GridSample:1;Einsum:1;Split:1;Reshape:1;Equal:1;Pad:1,"x1 = objects(I, F, T, T) | x2 = matcher(first, FIVE) | x3 = rbind(sfilter, x2) | x4 = chain(invert, center, x3) | x5 = fork(shift, identity, x4) | x6 = canvas(ZERO, THREE_BY_THREE) | x7 = mapply(x5, x1) | x8 = shift(x7, UNITY) | O = paint(x6, x8)"
23,150deff5,13134,15.517040433249083,158,baseline,QLinearConv:56;Add:25;Mul:22;Div:15;Min:13;Sub:9;Cast:7;Equal:5;Pad:3;Slice:2;Concat:1,"x1 = canvas(FIVE, TWO_BY_TWO) | x2 = asobject(x1) | x3 = occurrences(I, x2) | x4 = lbind(shift, x2) | x5 = mapply(x4, x3) | x6 = fill(I, EIGHT, x5) | x7 = canvas(FIVE, UNITY) | x8 = astuple(TWO, ONE) | x9 = canvas(EIGHT, x8) | x10 = vconcat(x9, x7) | x11 = asobject(x10) | x12 = occurrences(x6, x11) "
24,178fcbfb,110,20.299519634207584,1,baseline,Einsum:1,"x1 = objects(I, T, F, T) | x2 = ofcolor(I, TWO) | x3 = mapply(vfrontier, x2) | x4 = fill(I, TWO, x3) | x5 = colorfilter(x1, TWO) | x6 = difference(x1, x5) | x7 = compose(hfrontier, center) | x8 = fork(recolor, color, x7) | x9 = mapply(x8, x6) | O = paint(x4, x9)"
25,1a07d186,11664,15.63573754575156,61,baseline,Cast:13;Einsum:9;Mul:9;Add:6;ReduceMax:4;OneHot:3;Concat:3;ReduceSum:2;Greater:2;Unsqueeze:2;Equal:2;And:2;CumSum:2;TopK:1;Sub:1,"x1 = objects(I, T, F, T) | x2 = sizefilter(x1, ONE) | x3 = difference(x1, x2) | x4 = apply(color, x3) | x5 = rbind(contained, x4) | x6 = compose(x5, color) | x7 = sfilter(x2, x6) | x8 = lbind(colorfilter, x3) | x9 = chain(first, x8, color) | x10 = fork(gravitate, identity, x9) | x11 = fork(shift, id"
26,1b2d62fb,200,19.701682633451963,1,baseline,Conv:1,"x1 = lefthalf(I) | x2 = righthalf(I) | x3 = ofcolor(x1, ZERO) | x4 = ofcolor(x2, ZERO) | x5 = intersection(x3, x4) | x6 = replace(x1, NINE, ZERO) | O = fill(x6, EIGHT, x5)"
27,1b60fb0c,1310,17.822217583804804,20,baseline,Slice:5;Cast:3;ReduceSum:2;Where:2;Pad:2;Not:1;Greater:1;Transpose:1;And:1;Xor:1;Concat:1,"x1 = rot90(I) | x2 = ofcolor(I, ONE) | x3 = ofcolor(x1, ONE) | x4 = neighbors(ORIGIN) | x5 = mapply(neighbors, x4) | x6 = lbind(shift, x3) | x7 = apply(x6, x5) | x8 = lbind(intersection, x2) | x9 = compose(size, x8) | x10 = argmax(x7, x9) | O = underfill(I, TWO, x10)"
28,1bfc4729,168,19.876036020596743,1,baseline,Einsum:1,"x1 = asindices(I) | x2 = tophalf(I) | x3 = bottomhalf(I) | x4 = leastcolor(x2) | x5 = leastcolor(x3) | x6 = hfrontier(TWO_BY_ZERO) | x7 = box(x1) | x8 = combine(x6, x7) | x9 = fill(x2, x4, x8) | x10 = hmirror(x9) | x11 = replace(x10, x4, x5) | O = vconcat(x9, x11)"
29,1c786137,10770,15.715480229849566,36,baseline,ArgMax:5;Cast:5;Gather:4;Squeeze:4;ReduceSum:3;ReduceMax:2;Sub:2;Add:2;Less:2;Where:2;OneHot:2;Sum:1;Equal:1;Einsum:1,"x1 = objects(I, T, F, F) | x2 = argmax(x1, height) | x3 = subgrid(x2, I) | O = trim(x3)"
30,1caeab9d,2396,17.21844404076466,34,baseline,Cast:9;Sub:5;Slice:4;Concat:4;ReduceMax:3;ArgMax:3;Mod:2;Gather:2;Max:1;Pad:1,"x1 = objects(I, T, T, T) | x2 = ofcolor(I, ONE) | x3 = lowermost(x2) | x4 = lbind(subtract, x3) | x5 = chain(toivec, x4, lowermost) | x6 = fork(shift, identity, x5) | x7 = merge(x1) | x8 = cover(I, x7) | x9 = mapply(x6, x1) | O = paint(x8, x9)"
31,1cf80156,1472,17.705622700711178,39,baseline,Cast:8;Unsqueeze:7;ArgMax:4;Sub:4;Slice:3;ReduceMax:3;Concat:3;Add:2;Where:2;Less:1;Squeeze:1;Pad:1,"x1 = objects(I, T, T, T) | x2 = first(x1) | O = subgrid(x2, I)"
32,1e0a9b12,910,18.186555400489105,1,baseline,Conv:1,"x1 = rot270(I) | x2 = rbind(order, identity) | x3 = apply(x2, x1) | O = rot90(x3)"
33,1e32b0e9,1639,17.59815842125617,23,baseline,Slice:10;Less:8;Concat:4;Where:1,"x1 = height(I) | x2 = mostcolor(I) | x3 = asobject(I) | x4 = subtract(x1, TWO) | x5 = divide(x4, THREE) | x6 = astuple(x5, x5) | x7 = crop(I, ORIGIN, x6) | x8 = partition(x7) | x9 = matcher(color, ZERO) | x10 = compose(flip, x9) | x11 = extract(x8, x10) | x12 = initset(x2) | x13 = palette(x3) | x14 "
34,1f0c79e5,2365,17.231466699073966,19,baseline,QLinearConv:8;Pad:3;Cast:3;Concat:1;Max:1;ReduceMax:1;Mul:1;Where:1,"x1 = ofcolor(I, TWO) | x2 = replace(I, TWO, ZERO) | x3 = leastcolor(x2) | x4 = ofcolor(x2, x3) | x5 = combine(x1, x4) | x6 = recolor(x3, x5) | x7 = compose(decrement, double) | x8 = ulcorner(x5) | x9 = invert(x8) | x10 = shift(x1, x9) | x11 = apply(x7, x10) | x12 = interval(ZERO, NINE, ONE) | x13 = "
35,1f642eb9,2262,17.275995343323935,51,baseline,Where:8;Cast:7;Concat:7;Slice:6;ArgMax:6;GatherElements:6;Greater:4;Add:2;Reshape:2;ScatterElements:2;ScatterND:1,"x1 = objects(I, T, F, T) | x2 = sizefilter(x1, ONE) | x3 = difference(x1, x2) | x4 = first(x3) | x5 = rbind(gravitate, x4) | x6 = compose(crement, x5) | x7 = fork(shift, identity, x6) | x8 = mapply(x7, x2) | O = paint(I, x8)"
36,1f85a75f,2177,17.31429693876545,36,baseline,Cast:5;Add:4;MaxPool:3;ArgMax:3;GatherElements:3;Reshape:3;Concat:3;Less:2;Sub:1;ArgMin:1;Mod:1;Div:1;Slice:1;And:1;Mul:1;Where:1;Equal:1;Pad:1,"x1 = objects(I, T, T, T) | x2 = argmax(x1, size) | O = subgrid(x2, I)"
37,1f876c06,4746,16.534942563004293,39,baseline,Cast:7;Where:5;GatherElements:4;ArgMax:3;Add:3;Reshape:3;ReduceMax:2;LessOrEqual:2;Mul:2;Concat:1;GatherND:1;Unsqueeze:1;Sub:1;TopK:1;ScatterElements:1;Pad:1;Equal:1,"x1 = fgpartition(I) | x2 = compose(last, first) | x3 = power(last, TWO) | x4 = fork(connect, x2, x3) | x5 = fork(recolor, color, x4) | x6 = mapply(x5, x1) | O = paint(I, x6)"
38,1fad071e,213,19.638707834290575,6,baseline,Slice:2;Einsum:1;Greater:1;Xor:1;Pad:1,"x1 = objects(I, T, F, T) | x2 = colorfilter(x1, ONE) | x3 = sizefilter(x2, FOUR) | x4 = size(x3) | x5 = subtract(FIVE, x4) | x6 = astuple(ONE, x4) | x7 = canvas(ONE, x6) | x8 = astuple(ONE, x5) | x9 = canvas(ZERO, x8) | O = hconcat(x7, x9)"
39,2013d3e2,480,18.826213896098064,7,baseline,GatherND:1;MatMul:1;Cast:1;Gather:1;Add:1;Slice:1;Pad:1,"x1 = objects(I, F, T, T) | x2 = first(x1) | x3 = subgrid(x2, I) | x4 = lefthalf(x3) | O = tophalf(x4)"
40,2204b7a8,374,19.07574420258547,5,baseline,Slice:2;MaxPool:1;Concat:1;Einsum:1,"x1 = objects(I, T, F, T) | x2 = lbind(sfilter, x1) | x3 = compose(size, x2) | x4 = x3(vline) | x5 = x3(hline) | x6 = greater(x4, x5) | x7 = branch(x6, lefthalf, tophalf) | x8 = branch(x6, righthalf, bottomhalf) | x9 = branch(x6, hconcat, vconcat) | x10 = x7(I) | x11 = x8(I) | x12 = index(x10, ORIGIN"
41,22168020,1789,17.510587916491282,19,baseline,BitwiseXor:7;BitwiseOr:6;Conv:1;Cast:1;Split:1;Concat:1;Pad:1;Equal:1,"x1 = palette(I) | x2 = remove(ZERO, x1) | x3 = lbind(ofcolor, I) | x4 = lbind(prapply, connect) | x5 = fork(x4, x3, x3) | x6 = compose(merge, x5) | x7 = fork(recolor, identity, x6) | x8 = mapply(x7, x2) | O = paint(I, x8)"
42,22233c11,3110,16.95762199482672,11,baseline,Conv:3;Slice:1;Cast:1;Relu:1;ConvTranspose:1;Max:1;Greater:1;Pad:1;Where:1,"x1 = objects(I, T, T, T) | x2 = rbind(upscale, TWO) | x3 = chain(invert, halve, shape) | x4 = fork(combine, hfrontier, vfrontier) | x5 = compose(x2, vmirror) | x6 = fork(shift, x5, x3) | x7 = compose(toindices, x6) | x8 = lbind(mapply, x4) | x9 = compose(x8, toindices) | x10 = fork(difference, x7, x"
43,2281f1f4,794,18.322916538752864,9,baseline,Slice:2;Cast:2;Pad:2;Concat:2;Einsum:1,"x1 = ofcolor(I, FIVE) | x2 = product(x1, x1) | x3 = power(first, TWO) | x4 = power(last, TWO) | x5 = fork(astuple, x3, x4) | x6 = apply(x5, x2) | x7 = urcorner(x1) | x8 = remove(x7, x6) | O = underfill(I, TWO, x8)"
44,228f6490,11458,15.653556545031478,132,baseline,Sub:21;Cast:16;Mul:16;ReduceSum:12;ArgMax:8;Add:8;And:7;Clip:6;MatMul:6;Equal:6;Gather:4;Greater:4;Less:4;ReduceMax:3;Unsqueeze:3;Squeeze:2;Conv:2;Slice:1;Or:1;Sum:1;Pad:1,"x1 = objects(I, T, F, F) | x2 = colorfilter(x1, ZERO) | x3 = rbind(bordering, I) | x4 = compose(flip, x3) | x5 = sfilter(x2, x4) | x6 = first(x5) | x7 = last(x5) | x8 = difference(x1, x2) | x9 = compose(normalize, toindices) | x10 = x9(x6) | x11 = x9(x7) | x12 = matcher(x9, x10) | x13 = matcher(x9, "
45,22eb0ac0,3681,16.78906026662098,11,REPAIRED,Slice:2;Cast:2;Split:2;ReduceMax:1;Einsum:1;Unsqueeze:1;Concat:1;ConvTranspose:1,"x1 = fgpartition(I) | x2 = fork(recolor, color, backdrop) | x3 = apply(x2, x1) | x4 = mfilter(x3, hline) | O = paint(I, x4)"
46,234bbc79,2318,17.251539976100304,54,baseline,Where:15;Equal:7;Slice:6;Cast:5;Pad:4;ReduceMax:3;Greater:3;Sub:2;Conv:1;TopK:1;Gather:1;Squeeze:1;Mul:1;CumSum:1;Max:1;Split:1;Concat:1,"x1 = objects(I, F, F, T) | x2 = rbind(other, FIVE) | x3 = compose(x2, palette) | x4 = fork(recolor, x3, identity) | x5 = apply(x4, x1) | x6 = order(x5, leftmost) | x7 = compose(last, last) | x8 = lbind(matcher, x7) | x9 = compose(x8, leftmost) | x10 = compose(x8, rightmost) | x11 = fork(sfilter, ide"
47,23581191,862,18.240744729336306,19,baseline,ReduceMax:4;Where:4;Concat:3;Slice:2;Cast:2;Pad:2;BitwiseAnd:2,"x1 = objects(I, T, T, T) | x2 = fork(combine, vfrontier, hfrontier) | x3 = compose(x2, center) | x4 = fork(recolor, color, x3) | x5 = mapply(x4, x1) | x6 = paint(I, x5) | x7 = fork(intersection, first, last) | x8 = apply(x3, x1) | x9 = x7(x8) | O = fill(x6, TWO, x9)"
48,239be575,1146,17.955967102725314,113,baseline,BitwiseOr:36;Slice:19;BitShift:18;BitwiseAnd:10;Pad:10;Cast:5;Where:3;Greater:2;Equal:2;Conv:1;Div:1;ReduceMin:1;Sub:1;BitwiseNot:1;ReduceSum:1;ReduceMax:1;Mul:1,"x1 = objects(I, F, T, T) | x2 = lbind(contained, TWO) | x3 = compose(x2, palette) | x4 = sfilter(x1, x3) | x5 = size(x4) | x6 = greater(x5, ONE) | x7 = branch(x6, ZERO, EIGHT) | O = canvas(x7, UNITY)"
49,23b5c85d,386,19.04416263053517,26,baseline,Cast:8;Einsum:3;Div:3;Sub:3;And:1;Where:1;ReduceMin:1;Equal:1;Mul:1;Conv:1;Round:1;Sqrt:1;Min:1,"x1 = objects(I, T, T, T) | x2 = argmin(x1, size) | O = subgrid(x2, I)"
50,253bf280,3911,16.728451625244485,20,baseline,Cast:4;MatMul:2;ArgMax:2;Sub:2;Greater:2;Less:2;And:2;Slice:1;Or:1;Pad:1;Where:1,"x1 = ofcolor(I, EIGHT) | x2 = prapply(connect, x1, x1) | x3 = rbind(greater, ONE) | x4 = compose(x3, size) | x5 = sfilter(x2, x4) | x6 = fork(either, vline, hline) | x7 = mfilter(x5, x6) | x8 = fill(I, THREE, x7) | O = fill(x8, EIGHT, x1)"
51,25d487eb,1803,17.50279277679668,40,baseline,Cast:8;Mul:6;Einsum:5;ReduceSum:3;Equal:3;And:3;Sub:2;Sign:2;Add:2;GreaterOrEqual:2;Or:2;Sqrt:1;Where:1,"x1 = leastcolor(I) | x2 = objects(I, T, F, T) | x3 = ofcolor(I, x1) | x4 = center(x3) | x5 = merge(x2) | x6 = center(x5) | x7 = subtract(x6, x4) | x8 = shoot(x4, x7) | O = underfill(I, x1, x8)"
52,25d8a9c8,227,19.575049982518596,8,baseline,Concat:2;RoiAlign:1;ReduceMax:1;Greater:1;Not:1;And:1;Pad:1,"x1 = asindices(I) | x2 = objects(I, T, F, F) | x3 = sizefilter(x2, THREE) | x4 = mfilter(x3, hline) | x5 = toindices(x4) | x6 = difference(x1, x5) | x7 = fill(I, FIVE, x5) | O = fill(x7, ZERO, x6)"
53,25ff71a9,30,21.598802618337846,1,baseline,Gather:1,"x1 = objects(I, T, T, T) | x2 = first(x1) | O = move(I, x2, DOWN)"
54,264363fd,27085,14.793264651908,285,baseline,Gather:43;Where:31;Reshape:30;And:24;Equal:22;ArgMax:21;Add:18;Cast:14;Concat:12;Sub:10;Slice:8;ReduceMax:8;Or:8;CumSum:8;Div:6;ReduceSum:4;Greater:4;ScatterND:3;Not:2;GreaterOrEqual:2;Less:2;Conv:1;Transpose:1;Expand:1;ScatterElements:1;GatherND:1,"x1 = objects(I, F, F, T) | x2 = argmin(x1, size) | x3 = normalize(x2) | x4 = height(x2) | x5 = width(x2) | x6 = equality(x4, FIVE) | x7 = equality(x5, FIVE) | x8 = astuple(x6, x7) | x9 = add(UNITY, x8) | x10 = invert(x9) | x11 = center(x2) | x12 = index(I, x11) | x13 = branch(x6, UP, RIGHT) | x14 = "
55,272f95fa,10447,15.745929865162491,25,baseline,Equal:4;Greater:3;Cast:3;Where:3;ReduceMin:2;CumSum:2;Sub:2;Min:2;Gather:2;Conv:1;Mul:1,"x1 = objects(I, T, F, F) | x2 = colorfilter(x1, ZERO) | x3 = apply(toindices, x2) | x4 = rbind(bordering, I) | x5 = compose(flip, x4) | x6 = extract(x3, x5) | x7 = remove(x6, x3) | x8 = lbind(vmatching, x6) | x9 = lbind(hmatching, x6) | x10 = sfilter(x7, x8) | x11 = sfilter(x7, x9) | x12 = argmin(x1"
56,27a28665,34,21.473639475383838,13,baseline,And:3;Slice:2;Greater:2;Cast:2;Equal:1;Not:1;Concat:1;Pad:1,"x1 = objects(I, T, F, F) | x2 = valmax(x1, size) | x3 = equality(x2, ONE) | x4 = equality(x2, FOUR) | x5 = equality(x2, FIVE) | x6 = branch(x3, TWO, ONE) | x7 = branch(x4, THREE, x6) | x8 = branch(x5, SIX, x7) | O = canvas(x8, UNITY)"
57,28bf18c6,668,18.495711826463356,20,baseline,Cast:4;ReduceMin:2;ArgMin:2;Add:2;Gather:2;Equal:2;Slice:1;ReduceMax:1;ArgMax:1;Where:1;Concat:1;Pad:1,"x1 = objects(I, T, T, T) | x2 = first(x1) | x3 = subgrid(x2, I) | O = hconcat(x3, x3)"
58,28e73c20,1033,18.05977753088036,5,baseline,ReduceL2:1;Cast:1;Sub:1;Gather:1;BitwiseAnd:1,"x1 = width(I) | x2 = astuple(ONE, TWO) | x3 = astuple(TWO, TWO) | x4 = astuple(TWO, ONE) | x5 = astuple(THREE, ONE) | x6 = canvas(THREE, UNITY) | x7 = upscale(x6, FOUR) | x8 = initset(DOWN) | x9 = insert(UNITY, x8) | x10 = insert(x2, x9) | x11 = insert(x3, x10) | x12 = fill(x7, ZERO, x11) | x13 = vu"
59,29623171,557,18.677434760072714,9,baseline,Einsum:3;ReduceMin:1;Equal:1;ReduceMax:1;Cast:1;Where:1;Pad:1,"x1 = leastcolor(I) | x2 = interval(ZERO, NINE, FOUR) | x3 = product(x2, x2) | x4 = rbind(add, THREE) | x5 = rbind(interval, ONE) | x6 = fork(x5, identity, x4) | x7 = compose(x6, first) | x8 = compose(x6, last) | x9 = fork(product, x7, x8) | x10 = rbind(colorcount, x1) | x11 = rbind(toobject, I) | x1"
60,29c11459,1010,18.082294390164694,1,baseline,Conv:1,"x1 = lefthalf(I) | x2 = righthalf(I) | x3 = objects(x2, T, F, T) | x4 = objects(x1, T, F, T) | x5 = compose(hfrontier, center) | x6 = fork(recolor, color, x5) | x7 = mapply(x6, x4) | x8 = paint(x1, x7) | x9 = mapply(x6, x3) | x10 = paint(I, x9) | x11 = objects(x8, T, F, T) | x12 = apply(urcorner, x1"
61,29ec7d0e,1668,17.58061941708131,9,baseline,Mod:2;ReduceMax:1;ArgMax:1;Cast:1;Transpose:1;QLinearMatMul:1;Pad:1;Equal:1,"x1 = height(I) | x2 = width(I) | x3 = partition(I) | x4 = colorfilter(x3, ZERO) | x5 = difference(x3, x4) | x6 = merge(x5) | x7 = astuple(x1, ONE) | x8 = astuple(ONE, x2) | x9 = decrement(x1) | x10 = decrement(x2) | x11 = toivec(x10) | x12 = tojvec(x9) | x13 = crop(I, x11, x8) | x14 = crop(I, x12, x"
